timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1644399816935,1273,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-10,text,true,,74832,232,10,10,https://www.amazon.com/,37,0,19
1644399816935,37,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-10,text,true,,580,116,10,10,http://www.amazon.com/,37,0,19
1644399816973,1235,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-10,text,true,,74252,116,10,10,https://www.amazon.com/,843,0,37
1644399817523,704,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-16,text,true,,72572,232,10,10,https://www.amazon.com/,39,0,21
1644399817523,39,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-16,text,true,,580,116,10,10,http://www.amazon.com/,39,0,21
1644399817562,665,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-16,text,true,,71992,116,10,10,https://www.amazon.com/,267,0,36
1644399817126,1102,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-12,text,true,,74521,232,9,9,https://www.amazon.com/,29,0,16
1644399817126,29,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-12,text,true,,580,116,9,9,http://www.amazon.com/,29,0,16
1644399817156,1072,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-12,text,true,,73941,116,9,9,https://www.amazon.com/,681,0,58
1644399817828,706,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-19,text,true,,71557,232,10,10,https://www.amazon.com/,24,0,14
1644399817828,24,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-19,text,true,,580,116,10,10,http://www.amazon.com/,24,0,14
1644399817853,681,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-19,text,true,,70977,116,10,10,https://www.amazon.com/,293,0,62
1644399817922,731,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-20,text,true,,72990,232,11,11,https://www.amazon.com/,32,0,15
1644399817922,32,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-20,text,true,,580,116,11,11,http://www.amazon.com/,32,0,15
1644399817955,698,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-20,text,true,,72410,116,11,11,https://www.amazon.com/,290,0,64
1644399817624,1074,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-17,text,true,,72887,232,10,10,https://www.amazon.com/,26,0,14
